elec_pos,depth,rho,cond
71.25,4.78,647.39,0.001545
72.75,4.78,553.06,0.001808
74.25,4.78,377.49,0.002649
75.75,4.78,204.6,0.004888
77.25,4.78,184.92,0.005408
78.75,4.78,165.6,0.006039
80.25,4.78,156.27,0.006399
81.75,4.78,152.33,0.006565
83.25,4.78,137.06,0.007296
84.75,4.78,136.57,0.007322
86.25,4.78,127.97,0.007814
87.75,4.78,126.06,0.007933
89.25,4.78,122.73,0.008148
90.75,4.78,116.27,0.008601
92.25,4.78,116.09,0.008614
93.75,4.78,116.98,0.008548
95.25,4.78,118.17,0.008462
96.75,4.78,119.29,0.008383
98.25,4.78,120.12,0.008325
99.75,4.78,120.28,0.008314
101.25,4.78,113.6,0.008803
102.75,4.78,105.85,0.009447
104.25,4.78,98.553,0.0101
105.75,4.78,86.599,0.0115
107.25,4.78,85.274,0.0117
108.75,4.78,79.633,0.0126
110.25,4.78,71.882,0.0139
111.75,4.78,66.007,0.0151
113.25,4.78,64.957,0.0154
114.75,4.78,64.063,0.0156
116.25,4.78,63.545,0.0157
117.75,4.78,62.033,0.0161
119.25,4.78,60.106,0.0166
0.75,5.933,153.74,0.006504
2.25,5.933,147.01,0.006802
3.75,5.933,136.31,0.007336
5.25,5.933,126.4,0.007911
6.75,5.933,115.4,0.008666
8.25,5.933,106.7,0.009372
9.75,5.933,99.817,0.01
11.25,5.933,93.84,0.0107
12.75,5.933,88.918,0.0112
14.25,5.933,87.127,0.0115
15.75,5.933,86.407,0.0116
17.25,5.933,86.298,0.0116
18.75,5.933,87.271,0.0115
20.25,5.933,92.805,0.0108
21.75,5.933,106.44,0.009395
23.25,5.933,125.06,0.007996
24.75,5.933,136.04,0.007351
26.25,5.933,135.85,0.007361
27.75,5.933,133.41,0.007496
29.25,5.933,132.77,0.007532
30.75,5.933,132.64,0.007539
32.25,5.933,134.09,0.007458
33.75,5.933,138.8,0.007205
35.25,5.933,120.12,0.008325
36.75,5.933,116.09,0.008614
38.25,5.933,115.58,0.008652
39.75,5.933,115.27,0.008675
41.25,5.933,122.16,0.008186
42.75,5.933,130.48,0.007664
44.25,5.933,133.54,0.007488
45.75,5.933,138.86,0.007201
47.25,5.933,143.47,0.00697
48.75,5.933,144.24,0.006933
50.25,5.933,144.47,0.006922
51.75,5.933,143.56,0.006966
53.25,5.933,141.83,0.007051
54.75,5.933,137.94,0.00725
56.25,5.933,133.17,0.007509
57.75,5.933,127.98,0.007814
59.25,5.933,124.48,0.008033
60.75,5.933,122.35,0.008173
62.25,5.933,123.43,0.008102
63.75,5.933,172.42,0.0058
65.25,5.933,498.07,0.002008
66.75,5.933,508.05,0.001968
68.25,5.933,506.69,0.001974
69.75,5.933,469.17,0.002131
71.25,5.933,450.97,0.002217
72.75,5.933,424.16,0.002358
74.25,5.933,353.23,0.002831
75.75,5.933,244.73,0.004086
77.25,5.933,241.13,0.004147
78.75,5.933,240.57,0.004157
80.25,5.933,233.46,0.004283
81.75,5.933,214.4,0.004664
83.25,5.933,196.48,0.00509
84.75,5.933,187.56,0.005332
