elec_pos,depth,rho,cond,groundwater_presence
26.25,4.78,134.66,0.007426,0
27.75,4.78,130.07,0.007688,0
29.25,4.78,129.27,0.007736,0
30.75,4.78,130.06,0.007689,0
32.25,4.78,134.09,0.007458,0
33.75,4.78,141.69,0.007058,0
35.25,4.78,96.44,0.0104,1
36.75,4.78,90.324,0.0111,1
38.25,4.78,90.138,0.0111,1
39.75,4.78,95.404,0.0105,1
41.25,4.78,101.46,0.009856,0
42.75,4.78,111.24,0.00899,0
44.25,4.78,114.3,0.008749,0
45.75,4.78,125.02,0.007999,0
47.25,4.78,138.94,0.007197,0
48.75,4.78,142.08,0.007038,0
50.25,4.78,143.1,0.006988,0
51.75,4.78,143.49,0.006969,0
53.25,4.78,143.02,0.006992,0
54.75,4.78,142.2,0.007032,0
56.25,4.78,135.36,0.007388,0
57.75,4.78,126.7,0.007893,0
59.25,4.78,122.11,0.008189,0
60.75,4.78,120.01,0.008333,0
62.25,4.78,120.6,0.008292,0
63.75,4.78,170.97,0.005849,0
65.25,4.78,666.77,0.0015,0
66.75,4.78,873.05,0.001145,0
68.25,4.78,1016.1,0.000984,0
69.75,4.78,1007.6,0.000992,0
71.25,4.78,647.39,0.001545,0
72.75,4.78,553.06,0.001808,0
74.25,4.78,377.49,0.002649,0
75.75,4.78,204.6,0.004888,0
77.25,4.78,184.92,0.005408,0
78.75,4.78,165.6,0.006039,0
80.25,4.78,156.27,0.006399,0
81.75,4.78,152.33,0.006565,0
83.25,4.78,137.06,0.007296,0
84.75,4.78,136.57,0.007322,0
86.25,4.78,127.97,0.007814,0
87.75,4.78,126.06,0.007933,0
89.25,4.78,122.73,0.008148,0
90.75,4.78,116.27,0.008601,0
92.25,4.78,116.09,0.008614,0
93.75,4.78,116.98,0.008548,0
95.25,4.78,118.17,0.008462,0
96.75,4.78,119.29,0.008383,0
98.25,4.78,120.12,0.008325,0
99.75,4.78,120.28,0.008314,0
101.25,4.78,113.6,0.008803,0
102.75,4.78,105.85,0.009447,0
104.25,4.78,98.553,0.0101,1
105.75,4.78,86.599,0.0115,1
107.25,4.78,85.274,0.0117,1
108.75,4.78,79.633,0.0126,1
110.25,4.78,71.882,0.0139,1
111.75,4.78,66.007,0.0151,1
113.25,4.78,64.957,0.0154,1
114.75,4.78,64.063,0.0156,1
116.25,4.78,63.545,0.0157,1
117.75,4.78,62.033,0.0161,1
119.25,4.78,60.106,0.0166,1
0.75,5.933,153.74,0.006504,0
2.25,5.933,147.01,0.006802,0
3.75,5.933,136.31,0.007336,0
5.25,5.933,126.4,0.007911,0
6.75,5.933,115.4,0.008666,0
8.25,5.933,106.7,0.009372,0
9.75,5.933,99.817,0.01,1
11.25,5.933,93.84,0.0107,1
12.75,5.933,88.918,0.0112,1
14.25,5.933,87.127,0.0115,1
15.75,5.933,86.407,0.0116,1
17.25,5.933,86.298,0.0116,1
18.75,5.933,87.271,0.0115,1
20.25,5.933,92.805,0.0108,1
21.75,5.933,106.44,0.009395,0
23.25,5.933,125.06,0.007996,0
24.75,5.933,136.04,0.007351,0
26.25,5.933,135.85,0.007361,0
27.75,5.933,133.41,0.007496,0
29.25,5.933,132.77,0.007532,0
30.75,5.933,132.64,0.007539,0
32.25,5.933,134.09,0.007458,0
33.75,5.933,138.8,0.007205,0
35.25,5.933,120.12,0.008325,0
36.75,5.933,116.09,0.008614,0
38.25,5.933,115.58,0.008652,0
39.75,5.933,115.27,0.008675,0
41.25,5.933,122.16,0.008186,0
42.75,5.933,130.48,0.007664,0
44.25,5.933,133.54,0.007488,0
45.75,5.933,138.86,0.007201,0
47.25,5.933,143.47,0.00697,0
48.75,5.933,144.24,0.006933,0
50.25,5.933,144.47,0.006922,0
51.75,5.933,143.56,0.006966,0
53.25,5.933,141.83,0.007051,0
54.75,5.933,137.94,0.00725,0
56.25,5.933,133.17,0.007509,0
57.75,5.933,127.98,0.007814,0
59.25,5.933,124.48,0.008033,0
60.75,5.933,122.35,0.008173,0
62.25,5.933,123.43,0.008102,0
63.75,5.933,172.42,0.0058,0
65.25,5.933,498.07,0.002008,0
66.75,5.933,508.05,0.001968,0
68.25,5.933,506.69,0.001974,0
69.75,5.933,469.17,0.002131,0
71.25,5.933,450.97,0.002217,0
72.75,5.933,424.16,0.002358,0
74.25,5.933,353.23,0.002831,0
75.75,5.933,244.73,0.004086,0
77.25,5.933,241.13,0.004147,0
78.75,5.933,240.57,0.004157,0
80.25,5.933,233.46,0.004283,0
81.75,5.933,214.4,0.004664,0
83.25,5.933,196.48,0.00509,0
84.75,5.933,187.56,0.005332,0
86.25,5.933,161.48,0.006193,0
87.75,5.933,143.87,0.006951,0
89.25,5.933,131.49,0.007605,0
90.75,5.933,121.28,0.008245,0
92.25,5.933,118.1,0.008467,0
93.75,5.933,117.91,0.008481,0
95.25,5.933,118.51,0.008438,0
96.75,5.933,120.03,0.008331,0
98.25,5.933,120.48,0.0083,0
99.75,5.933,120.23,0.008317,0
101.25,5.933,114.6,0.008726,0
102.75,5.933,108.68,0.009201,0
104.25,5.933,102.84,0.009724,0
105.75,5.933,93.833,0.0107,1
107.25,5.933,88.564,0.0113,1
108.75,5.933,83.453,0.012,1
110.25,5.933,77.665,0.0129,1
111.75,5.933,70.945,0.0141,1
113.25,5.933,66.071,0.0151,1
114.75,5.933,64.072,0.0156,1
116.25,5.933,62.88,0.0159,1
117.75,5.933,61.452,0.0163,1
119.25,5.933,60.196,0.0166,1
0.75,7.201,150.07,0.006664,0
2.25,7.201,145.38,0.006879,0
3.75,7.201,135.26,0.007393,0
5.25,7.201,126.93,0.007878,0
6.75,7.201,119.53,0.008366,0
8.25,7.201,111.87,0.008939,0
9.75,7.201,103.96,0.009619,0
11.25,7.201,96.47,0.0104,1
12.75,7.201,90.54,0.011,1
14.25,7.201,87.928,0.0114,1
15.75,7.201,87.308,0.0115,1
17.25,7.201,87.175,0.0115,1
18.75,7.201,87.851,0.0114,1
20.25,7.201,92.758,0.0108,1
21.75,7.201,106.21,0.009415,0
23.25,7.201,124.37,0.008041,0
24.75,7.201,135.53,0.007378,0
26.25,7.201,136.02,0.007352,0
27.75,7.201,133.94,0.007466,0
